VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      2                       0      0.0423986872013945      0.0129918219173173    5.16214014880117E-10    1.53329689802586E-15    4.23637240719514E-08                       0                       0                       0                       0                       0                       0                       0    4.33671656420806E-20        1517.05442469936        1517.05442469936      0.0553905493518629        24219.5288907826        1663220.77738072    0.000169372132041893 
                      2     0.00035035035035035      0.0288203210585588     0.00883113415247617    3.46779446641006E-10    1.00234994966914E-13    2.86218445027574E-08                       0                       0                       0                       0                       0                       0        1028.91553900213      -0.423466186696427        2231.92301311034        1897.41019870546      0.0376514860220289         24220.215434397        2998943.44228116    8.48541676097997E-05 
                      2    0.000700700700700701      0.0280345950528779      0.0085903714599259    3.01920778616266E-10     1.3147334956752E-13    2.53858949247975E-08                       0                       0                       0                       0                       0                       0        1734.31328529665       0.238620106421943        2294.41248939273        1947.61692531303      0.0366249898027727        24220.2002747332        4049743.31362525    7.71378365440062E-05 
                      2     0.00105105105105105      0.0287653015383351     0.00881427921371436    2.58125567344113E-10    8.01175377515764E-14    2.19779763961583E-08                       0                       0                       0                       0                       0                       0        2179.40088610383       0.880589555057232        2236.30327521798        1921.27209889446       0.037579606223641        24220.9825999918        4856296.53909592    8.42778020359773E-05 
                      2      0.0014014014014014      0.0305580020683418     0.00936360233435499    2.19235923341386E-10    2.87969850941836E-14     1.8608123931002E-08                       0                       0                       0                       0                       0                       0        2467.28989483058        1.30588662698597        2105.75112881816        1838.20973141655      0.0399216223428849        24225.0854978315        5373976.61961319      0.0001039451370035 
                      2     0.00175175175175175        0.03322356589549      0.0101803926545634    1.87703101551229E-10    7.67090094104259E-15    1.58962781017284E-08                       0                       0                       0                       0                       0                       0        2660.99339767973          1.666143969411        1938.05612691973        1707.98207582267      0.0434039762286998         24232.497266169        5672225.22073234    0.000140825164869849 
                      2      0.0021021021021021      0.0365939054690955      0.0112131390146818    1.62131776337566E-10    1.61273313803347E-15    1.37166939871676E-08                       0                       0                       0                       0                       0                       0        2797.76144218629        1.98402013314597        1760.74871626566         1563.1315668578      0.0478070620856078        24242.0469120442        5835035.06284598    0.000200359650076583 
                      2     0.00245245245245245      0.0405685600036734      0.0124310646853484    1.41137325936049E-10    2.97621973308756E-16    1.19357276845055E-08                       0                       0                       0                       0                       0                       0        2897.82534675934        2.26875494396195        1588.69332604653        1437.73063542736       0.052999637703273         24252.623015694        5920462.66515393     0.00029926415058162 
                      2      0.0028028028028028      0.0449068889858075       0.013760425670315    1.23793854368754E-10    5.16158581697505E-17    1.04689010055041E-08                       0                       0                       0                       0                       0                       0        2972.70935405657        2.53335900588895        1435.80914595489        1335.28813106711      0.0586673236902594        24257.4748782606        5966141.01085499    0.000438766779830439 
                      2     0.00315315315315315      0.0491073376816792      0.0150475309873166    1.09306336869804E-10    1.04926878395116E-17    9.24652349558903E-09                       0                       0                       0                       0                       0                       0        3030.54991661056         2.7650916847362        1313.27193910085        1250.19185552937       0.064154874448508        24253.9843989961        6000719.93839417    0.000631993031703773 
                      2      0.0035035035035035      0.0529262665910026      0.0162177338740221     9.6992656925955E-11    2.16804771605517E-18    8.20936943833479E-09                       0                       0                       0                       0                       0                       0        3076.89773604566        2.95184840208034        1218.14530909484        1177.76112319395      0.0691440053561456        24249.2620926919        6033819.93426949    0.000859844923171548 
                      2     0.00385385385385385      0.0563591189482679      0.0172696315604222     8.6462548455554E-11    4.61172144066428E-19    7.32365335767796E-09                       0                       0                       0                       0                       0                       0        3114.67493092862        3.09943134493431        1143.51802083251        1115.32529633003      0.0736287572141494        24245.2555483419        6065321.54281639     0.00111540289646361 
                      2      0.0042042042042042      0.0594531730771562      0.0182177183133655    7.73675769921374E-11    9.79689271323224E-20     6.5594281715909E-09                       0                       0                       0                       0                       0                       0        3146.06424871902        3.21861667762689         1083.5064656106        1060.70441739418      0.0776708971645792        24241.8942437859        6094622.12054267     0.00139225873109912 
                      2     0.00455455455455455      0.0622603971505375      0.0190779129003556    6.94153013656204E-11    1.99213072089297E-20    5.89174689505413E-09                       0                       0                       0                       0                       0                       0        3172.66797551994        3.31760728192052        1034.04181700744        1012.16653103587      0.0813383161627873        24239.0525789283         6121669.6669632     0.00170344340436671 
                      2      0.0049049049049049      0.0647300862318855      0.0198346774640815    6.27060135881268E-11    7.15161309695913E-21    5.32875951419632E-09                       0                       0                       0                       0                       0                       0        3194.37862159472        3.39706789682829        994.892822096605         970.16636443202      0.0845647736129135        24236.7621897824        6145709.15606003     0.00204286648124976 
                      2     0.00525525525525525      0.0669681477277232      0.0205204706220406    5.67797308347935E-11    1.88351839309154E-21    4.83147192196339E-09                       0                       0                       0                       0                       0                       0        3213.17005838161        3.46546826256663         961.62843686133        932.309522875245      0.0874886239697466        24234.8061147556        6167539.01380502     0.00235973348368485 
                      2     0.00560560560560561      0.0690455556911375      0.0211570374365153    5.13934702936306E-11    3.78339427667368E-22    4.37952996610275E-09                       0                       0                       0                       0                       0                       0        3229.99989362135        3.52659695873049        932.265660969928        897.274591372151      0.0902025922777713        24233.0759314388        6187809.50026626     0.00268923839417459 
                      2     0.00595595595595596      0.0708710760713004       0.021716416724327    4.68188890421415E-11    1.57311534315179E-22    3.99564315175938E-09                       0                       0                       0                       0                       0                       0        3243.98702216483        3.57753351801023        908.393516849343        866.488076136826      0.0925874937775643        24231.6861813031        6205572.10712205     0.00305634675180106 
                      2     0.00630630630630631      0.0725505762109721      0.0222310507045363    4.26759556184155E-11    3.67170941219468E-23    3.64779657232444E-09                       0                       0                       0                       0                       0                       0        3256.51268531236         3.6233313408346        887.236706816327         838.05713058595      0.0947816295943612        24230.4658152039         6221871.0870372     0.00336899276730238 
                      2     0.00665665665665666      0.0740944177215942      0.0227041131169571    3.89502482007345E-11    1.28938749145089E-23    3.33490632938115E-09                       0                       0                       0                       0                       0                       0        3267.65450105244        3.66438531814403        868.647048760547        811.813926704859      0.0967985374893209        24229.4058644242        6236789.97616919     0.00374184342874719 
