VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      0                     0.1       0.029899999499321     0.00916200038045645    1.74842778626378E-20    2.86299882603116E-29    9.32494582923522E-21                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        3.05904698371887 
     0.0025025025025025                     0.1       0.029899999499321     0.00916200038045645    2.38670957504325E-20    4.07299728314946E-29    1.27291155855609E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        3.36219581720649 
      0.005005005005005                     0.1       0.029899999499321     0.00916200038045645    3.02411572169574E-20     4.1544463473294E-29     1.6128615909605E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        3.66534465069411 
    0.00750750750750751                     0.1       0.029899999499321     0.00916200038045645    3.66152186834823E-20    4.23589541150934E-29    1.95281162336491E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        3.96849348418173 
       0.01001001001001                     0.1       0.029899999499321     0.00916200038045645    4.29892801500072E-20    4.31734447568928E-29    2.29276165576932E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        4.27164231766935 
     0.0125125125125125                     0.1       0.029899999499321     0.00916200038045645    4.93633416165321E-20    4.39879353986922E-29    2.63271168817373E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        4.57479115115697 
      0.015015015015015                     0.1       0.029899999499321     0.00916200038045645     5.5737403083057E-20    4.48024260404916E-29    2.97266172057814E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        4.87793998464459 
     0.0175175175175175                     0.1       0.029899999499321     0.00916200038045645    6.21114645495819E-20     4.5616916682291E-29    3.31261175298255E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603         5.1810888181322 
       0.02002002002002                     0.1       0.029899999499321     0.00916200038045645    6.84855260161068E-20    4.64314073240904E-29    3.65256178538695E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        5.48423765161982 
     0.0225225225225225                     0.1       0.029899999499321     0.00916200038045645    7.48595874826317E-20    4.72458979658898E-29    3.99251181779136E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        5.78738648510744 
      0.025025025025025                     0.1       0.029899999499321     0.00916200038045645    8.12415190338175E-20    5.82035498294053E-29    4.33288152880924E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.09053531859506 
     0.0275275275275275                     0.1       0.029899999499321     0.00916200038045645      9.088394122057E-20    8.27811994908837E-29    4.84714398803413E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
       0.03003003003003                     0.1       0.029899999499321     0.00916200038045645    1.00617264419536E-19    1.07955730680883E-28     5.3662546269564E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0325325325325325                     0.1       0.029899999499321     0.00916200038045645    1.10350587618503E-19    1.33130261870883E-28    5.88536526587867E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
      0.035035035035035                     0.1       0.029899999499321     0.00916200038045645    1.20083910817469E-19    1.58304793060882E-28    6.40447590480094E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0375375375375375                     0.1       0.029899999499321     0.00916200038045645    1.29817234016436E-19    1.83479324250882E-28    6.92358654372321E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
       0.04004004004004                     0.1       0.029899999499321     0.00916200038045645    1.39550557215402E-19    2.08653855440881E-28    7.44269718264548E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0425425425425425                     0.1       0.029899999499321     0.00916200038045645    1.49283880414368E-19    2.33828386630881E-28    7.96180782156775E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
      0.045045045045045                     0.1       0.029899999499321     0.00916200038045645    1.59017203613335E-19     2.5900291782088E-28    8.48091846049001E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0475475475475476                     0.1       0.029899999499321     0.00916200038045645    1.68750526812301E-19     2.8417744901088E-28    9.00002909941228E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
       0.05005005005005                     0.1       0.029899999499321     0.00916200038045645     1.7865421482569E-19    3.09731128948858E-28    9.52822576543435E-20                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
     0.0525525525525526                     0.1       0.029899999499321     0.00916200038045645    1.88714496231169E-19    5.22284433803834E-28    1.00647738016022E-19                       0                       0                       0                       0                       0                       0                    3430                    -919        322.884002685547        322.884002685547         0.0390620008111            3635.2109375                 6630603        6.11809492111206 
