VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "U"
 "V"
 "T"
 "Tv"
 "tke"
 "omega"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    1.5                     0.3      0.0304981384617773     0.00931889104434727    1.60346948977401E-05    1.05582960386393E-09    2.01619613148806E-05        3424.90127039781       -3400.46551089518        388.874668735485        486.686790519854      0.0406630657907253        8641.60592271266      0.0398532249732851        4519.98671537517         12053480.691629        1.06697072207342 
       1.50075075075075                     0.3      0.0305016423722504     0.00931985155195064     1.6103876603292E-05    1.05584564134609E-09    2.02482266907275E-05        3424.87091695634       -3400.29852341837        389.233931872827        487.644024438204      0.0406583298965585        8640.59942523863      0.0398578449121367        4524.53663238102        12053230.6686912        1.05384926909667 
        1.5015015015015                     0.3      0.0305051462827235       0.009320812059554     1.6173058308844E-05    1.05586167882824E-09    2.03344920665744E-05        3424.84056351486       -3400.13153594155         389.59319501017        488.601258356554      0.0406535940023917         8639.5929277646      0.0398624648509882        4529.08654938688        12052980.6457534        1.04072781611993 
       1.50225225225225                     0.3      0.0305086501931965     0.00932177256715737     1.6242240014396E-05     1.0558777163104E-09    2.04207574424213E-05        3424.81021007338       -3399.96454846474        389.952458147512        489.558492274904      0.0406488581082249        8638.58643029058      0.0398670847898397        4533.63646639273        12052730.6228156        1.02760636314319 
         1.503003003003                     0.3      0.0305121541036696     0.00932273307476074    1.63114217199479E-05    1.05589375379256E-09    2.05070228182682E-05        3424.77985663191       -3399.79756098792        390.311721284855        490.515726193255      0.0406441222140581        8637.57993281655      0.0398717047286912        4538.18638339858        12052480.5998779        1.01448491016644 
       1.50375375375375                     0.3      0.0305156580141427      0.0093236935823641    1.63806034254999E-05    1.05590979127472E-09     2.0593288194115E-05        3424.74950319043       -3399.63057351111        390.670984422197        491.472960111605      0.0406393863198913        8636.57343534252      0.0398763246675427        4542.73630040443        12052230.5769401         1.0013634571897 
        1.5045045045045                     0.3      0.0305191619246157     0.00932465408996746    1.64497851310518E-05    1.05592582875688E-09    2.06795535699619E-05        3424.71914974895       -3399.46358603429         391.03024755954        492.430194029955      0.0406346504257245         8635.5669378685      0.0398809446063942        4547.28621741028        12051980.5540023       0.988242004212961 
       1.50525525525526                     0.3      0.0305226658350888     0.00932561459757083    1.65189668366038E-05    1.05594186623904E-09    2.07658189458088E-05        3424.68879630748       -3399.29659855748        391.389510696882        493.387427948305      0.0406299145315577        8634.56044039447      0.0398855645452457        4551.83613441614        12051730.5310646       0.975120551236219 
       1.50600600600601                     0.3      0.0305261697455619      0.0093265751051742    1.65881485421557E-05     1.0559579037212E-09    2.08520843216557E-05          3424.658442866       -3399.12961108066        391.748773834225        494.344661866656      0.0406251786373909        8633.55394292044      0.0398901844840972        4556.38605142199        12051480.5081268       0.961999098259473 
       1.50675675675676                     0.3      0.0305296736560349     0.00932753561277756    1.66573302477077E-05    1.05597394120335E-09    2.09383496975026E-05        3424.62808942453       -3398.96262360385        392.108036971567        495.301895785006      0.0406204427432241        8632.54744544642      0.0398948044229487        4560.93596842784         12051230.485189       0.948877645282732 
