VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   1.45                     0.3      0.0301584228924011     0.00923209055293978    5.56706685116534E-06    7.49816026004491E-11    6.93101895678973E-06                       0                       0                       0                       0                       0                       0        3427.87807434647       -3417.94809516356        348.744665432325        416.979267807133      0.0394030125865189        3970.99897615728        12073530.6335462        1.96293009908216 
        1.4504004004004                     0.3      0.0301592237784974     0.00923231594521194    5.57914557500695E-06    7.49826198088632E-11    6.94632803440843E-06                       0                       0                       0                       0                       0                       0        3427.87200052555        -3417.9150665848        348.809311074904        417.334241799295      0.0394040664353108         3971.8310934943        12073473.8683669        1.95458322254254 
        1.4508008008008                     0.3      0.0301600246645938      0.0092325413374841    5.59122429884856E-06    7.49836370172772E-11    6.96163711202713E-06                       0                       0                       0                       0                       0                       0        3427.86592670463       -3417.88203800604        348.873956717483        417.689215791458      0.0394051202841027        3972.66321083132        12073417.1031876        1.94623634600293 
        1.4512012012012                     0.3      0.0301608255506901     0.00923276672975626    5.60330302269018E-06    7.49846542256913E-11    6.97694618964584E-06                       0                       0                       0                       0                       0                       0        3427.85985288371       -3417.84900942727        348.938602360061         418.04418978362      0.0394061741328946        3973.49532816834        12073360.3380083        1.93788946946331 
        1.4516016016016                     0.3      0.0301616264367865     0.00923299212202842    5.61538174653179E-06    7.49856714341053E-11    6.99225526726454E-06                       0                       0                       0                       0                       0                       0        3427.85377906279       -3417.81598084851         349.00324800264        418.399163775783      0.0394072279816864        3974.32744550536         12073303.572829        1.92954259292369 
         1.452002002002                     0.3      0.0301624273228828     0.00923321751430058     5.6274604703734E-06    7.49866886425194E-11    7.00756434488324E-06                       0                       0                       0                       0                       0                       0        3427.84770524187       -3417.78295226975        349.067893645219        418.754137767945      0.0394082818304783        3975.15956284238        12073246.8076497        1.92119571638407 
        1.4524024024024                     0.3      0.0301632282089791     0.00923344290657274    5.63953919421501E-06    7.49877058509335E-11    7.02287342250194E-06                       0                       0                       0                       0                       0                       0        3427.84163142096       -3417.74992369098        349.132539287798        419.109111760107      0.0394093356792702         3975.9916801794        12073190.0424703        1.91284883984446 
        1.4528028028028                     0.3      0.0301640290950755      0.0092336682988449    5.65161791805663E-06    7.49887230593475E-11    7.03818250012065E-06                       0                       0                       0                       0                       0                       0        3427.83555760004       -3417.71689511222        349.197184930376         419.46408575227      0.0394103895280621        3976.82379751642         12073133.277291        1.90450196330484 
        1.4532032032032                     0.3      0.0301648299811718     0.00923389369111707    5.66369664189824E-06    7.49897402677616E-11    7.05349157773935E-06                       0                       0                       0                       0                       0                       0        3427.82948377912       -3417.68386653346        349.261830572955        419.819059744432       0.039411443376854        3977.65591485344        12073076.5121117        1.89615508676522 
        1.4536036036036                     0.3      0.0301656308672681     0.00923411908338923    5.67577536573985E-06    7.49907574761756E-11    7.06880065535805E-06                       0                       0                       0                       0                       0                       0         3427.8234099582       -3417.65083795469        349.326476215534        420.174033736595      0.0394124972256459        3978.48803219046        12073019.7469324        1.88780821022561 
         1.454004004004                     0.3      0.0301664317533645     0.00923434447566139    5.68785408958146E-06    7.49917746845897E-11    7.08410973297675E-06                       0                       0                       0                       0                       0                       0        3427.81733613728       -3417.61780937593        349.391121858113        420.529007728757      0.0394135510744377        3979.32014952747        12072962.9817531        1.87946133368599 
        1.4544044044044                     0.3      0.0301672326394608     0.00923456986793355    5.69993281342308E-06    7.49927918930037E-11    7.09941881059545E-06                       0                       0                       0                       0                       0                       0        3427.81126231636       -3417.58478079717        349.455767500692         420.88398172092      0.0394146049232296        3980.15226686449        12072906.2165738        1.87111445714637 
        1.4548048048048                     0.3      0.0301680335255572     0.00923479526020571    5.71201153726469E-06    7.49938091014178E-11    7.11472788821415E-06                       0                       0                       0                       0                       0                       0        3427.80518849544       -3417.55175221841         349.52041314327        421.238955713082      0.0394156587720215        3980.98438420151        12072849.4513945        1.86276758060675 
       1.45520520520521                     0.3      0.0301688344116535     0.00923502065247787     5.7240902611063E-06    7.49948263098319E-11    7.13003696583285E-06                       0                       0                       0                       0                       0                       0        3427.79911467452       -3417.51872363964        349.585058785849        421.593929705245      0.0394167126208134        3981.81650153853        12072792.6862152        1.85442070406714 
       1.45560560560561                     0.3      0.0301696352977498     0.00923524604475003    5.73616898494791E-06    7.49958435182459E-11    7.14534604345155E-06                       0                       0                       0                       0                       0                       0         3427.7930408536       -3417.48569506088        349.649704428428        421.948903697407      0.0394177664696053        3982.64861887555        12072735.9210359        1.84607382752752 
       1.45600600600601                     0.3      0.0301704361838462     0.00923547143702219    5.74824770878953E-06      7.499686072666E-11    7.16065512107026E-06                       0                       0                       0                       0                       0                       0        3427.78696703269       -3417.45266648212        349.714350071007         422.30387768957      0.0394188203183972        3983.48073621257        12072679.1558566         1.8377269509879 
       1.45640640640641                     0.3      0.0301712370699425     0.00923569682929435    5.76032643263114E-06     7.4997877935074E-11    7.17596419868896E-06                       0                       0                       0                       0                       0                       0        3427.78089321177       -3417.41963790335        349.778995713586        422.658851681732       0.039419874167189        3984.31285354959        12072622.3906773        1.82938007444829 
       1.45680680680681                     0.3      0.0301720379560388     0.00923592222156652    5.77240515647275E-06    7.49988951434881E-11    7.19127327630766E-06                       0                       0                       0                       0                       0                       0        3427.77481939085       -3417.38660932459        349.843641356164        423.013825673895      0.0394209280159809        3985.14497088661         12072565.625498        1.82103319790867 
       1.45720720720721                     0.3      0.0301728388421352     0.00923614761383868    5.78448388031436E-06    7.49999123519021E-11    7.20658235392636E-06                       0                       0                       0                       0                       0                       0        3427.76874556993       -3417.35358074583        349.908286998743        423.368799666057      0.0394219818647728        3985.97708822363        12072508.8603187        1.81268632136906 
       1.45760760760761                     0.3      0.0301736397282315     0.00923637300611084    5.79656260415598E-06    7.50009295603162E-11    7.22189143154507E-06                       0                       0                       0                       0                       0                       0        3427.76267174901       -3417.32055216706        349.972932641322         423.72377365822      0.0394230357135647        3986.80920556064        12072452.0951394        1.80433944482944 
