VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   1.25                     0.3      0.0299042326693572     0.00916323807642925    3.64105017344177E-08    1.53130565095869E-17    4.49566804341455E-08                       0                       0                       0                       0                       0                       0        3429.97403808834       -3429.86926719662        323.092953990073        325.980038012635      0.0390675537164859        3638.08616724884         12090483.751338        5.60418930175286 
         1.251001001001                     0.3      0.0299042639757426     0.00916324723207028    3.66130981938603E-08     1.5313299979005E-17    4.52054534825672E-08                       0                       0                       0                       0                       0                       0        3429.97387356561       -3429.86843490514        323.094143150721        326.002731262463      0.0390675941785124         3638.1033647135        12090481.7693229        5.59646605190149 
         1.252002002002                     0.3      0.0299042952821281     0.00916325638771131    3.68156946533028E-08    1.53135434484231E-17    4.54542265309889E-08                       0                       0                       0                       0                       0                       0        3429.97370904287       -3429.86760261365        323.095332311368        326.025424512291      0.0390676346405389        3638.12056217816        12090479.7873079        5.58874280205012 
         1.253003003003                     0.3      0.0299043265885136     0.00916326554335234    3.70182911127454E-08    1.53137869178411E-17    4.57029995794106E-08                       0                       0                       0                       0                       0                       0        3429.97354452014       -3429.86677032217        323.096521472015        326.048117762119      0.0390676751025654        3638.13775964282        12090477.8052928        5.58101955219874 
         1.254004004004                     0.3       0.029904357894899     0.00916327469899337     3.7220887572188E-08    1.53140303872592E-17    4.59517726278322E-08                       0                       0                       0                       0                       0                       0         3429.9733799974       -3429.86593803069        323.097710632662        326.070811011947      0.0390677155645919        3638.15495710748        12090475.8232777        5.57329630234737 
       1.25500500500501                     0.3      0.0299043892012845      0.0091632838546344    3.74234840316306E-08    1.53142738566773E-17     4.6200545676254E-08                       0                       0                       0                       0                       0                       0        3429.97321547467       -3429.86510573921        323.098899793309        326.093504261776      0.0390677560266184        3638.17215457214        12090473.8412627          5.565573052496 
       1.25600600600601                     0.3      0.0299044205076699     0.00916329301027543    3.76260804910731E-08    1.53145173260954E-17    4.64493187246757E-08                       0                       0                       0                       0                       0                       0        3429.97305095193       -3429.86427344773        323.100088953957        326.116197511604      0.0390677964886449         3638.1893520368        12090471.8592476        5.55784980264463 
       1.25700700700701                     0.3      0.0299044518140554     0.00916330216591646    3.78286769505157E-08    1.53147607955134E-17    4.66980917730973E-08                       0                       0                       0                       0                       0                       0         3429.9728864292       -3429.86344115625        323.101278114604        326.138890761432      0.0390678369506714        3638.20654950146        12090469.8772326        5.55012655279326 
       1.25800800800801                     0.3      0.0299044831204409     0.00916331132155749    3.80312734099583E-08    1.53150042649315E-17    4.69468648215191E-08                       0                       0                       0                       0                       0                       0        3429.97272190647       -3429.86260886477        323.102467275251         326.16158401126      0.0390678774126979        3638.22374696612        12090467.8952175        5.54240330294189 
       1.25900900900901                     0.3      0.0299045144268263     0.00916332047719852    3.82338698694008E-08    1.53152477343496E-17    4.71956378699407E-08                       0                       0                       0                       0                       0                       0        3429.97255738373       -3429.86177657329        323.103656435898        326.184277261088      0.0390679178747243        3638.24094443078        12090465.9132024        5.53468005309052 
