VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   0.08                   0.045    0.000162321923099575    4.80865768217704E-05    5.65216971692811E-07    6.73634379528789E-08    9.98912425317633E-07                       0                       0                       0                       0                       0                       0         6119.9489685157        1119.63664564371        3458.80060963589          1319.551198629    0.000212039980166512        212.151830693974        23047310.9601193     0.00260585696335019        1.26761540634614 
                   0.08      0.0448484848484848    0.000159547008425375    4.72120776975301E-05    5.80012977528733E-07     6.8900787262804E-08     1.0254893810142E-06                       0                       0                       0                       0                       0                       0        6107.81747205458        1113.84366321979        3499.65539114323        1351.34624729766    0.000208433474581585        210.906472722478        23018981.8237536     0.00253298732502496        1.26596513370992 
                   0.08      0.0446969696969697    0.000156772093751175    4.63375785732899E-05    5.94808983364654E-07    7.04381365727291E-08    1.05206633671076E-06                       0                       0                       0                       0                       0                       0        6095.68597559345        1108.05068079588        3540.51017265057        1383.14129596632    0.000204826968996658        209.661114750983        22990652.6873879     0.00246011768669973         1.2643148610737 
                   0.08      0.0445454545454545    0.000153997179076976    4.54630794490496E-05    6.09604989200575E-07    7.19754858826543E-08    1.07864329240733E-06                       0                       0                       0                       0                       0                       0        6083.55447913232        1102.25769837197        3581.36495415791        1414.93634463498    0.000201220463411731        208.415756779487        22962323.5510222     0.00238724804837449        1.26266458843747 
                   0.08      0.0443939393939394    0.000151222264402776    4.45885803248094E-05    6.24400995036495E-07    7.35128351925793E-08    1.10522024810389E-06                       0                       0                       0                       0                       0                       0         6071.4229826712        1096.46471594805        3622.21973566525        1446.73139330364    0.000197613957826804        207.170398807992        22933994.4146565     0.00231437841004926        1.26101431580125 
                   0.08      0.0442424242424242    0.000148447349728576    4.37140812005692E-05    6.39197000872416E-07    7.50501845025045E-08    1.13179720380046E-06                       0                       0                       0                       0                       0                       0        6059.29148621007        1090.67173352414        3663.07451717259         1478.5264419723    0.000194007452241877        205.925040836496        22905665.2782908     0.00224150877172403        1.25936404316502 
                   0.08      0.0440909090909091    0.000145965319062808    4.29287674999665E-05    6.53876524857336E-07    7.65051930441884E-08    1.15814811196223E-06                       0                       0                       0                       0                       0                       0        6045.66389650149        1084.99872541748         3704.0396633181        1511.17808557165    0.000190782597294154        204.826211045746        22870048.3822784     0.00217817588591037        1.25795069225568 
                   0.08      0.0439393939393939     0.00014376016269638    4.22280597441539E-05    6.68320247356712E-07    7.78617161658523E-08    1.18403221280989E-06                       0                       0                       0                       0                       0                       0        6030.76962531745        1079.55569537368        3745.05469700316          1544.333400308    0.000187918426414146         203.89250534523        22828251.5100808     0.00212076951515281        1.25674197365374 
                   0.08      0.0437878787878788    0.000141555006329951    4.15273519883413E-05    6.82763969856087E-07    7.92182392875162E-08    1.20991631365756E-06                       0                       0                       0                       0                       0                       0        6015.87535413341        1074.11266532989        3786.06973068821        1577.48871504434    0.000185054255534137        202.958799644714        22786454.6378832     0.00206336314439525        1.25553325505181 
                   0.08      0.0436363636363636    0.000139349849963523    4.08266442325287E-05    6.97207692355462E-07    8.05747624091801E-08    1.23580041450522E-06                       0                       0                       0                       0                       0                       0        6000.98108294937         1068.6696352861        3827.08476437326        1610.64402978068    0.000182190084654129        202.025093944198        22744657.7656856     0.00200595677363769        1.25432453644988 
