VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    0.5                     0.1      0.0299051239947391     0.00916356959926701    5.25981484183401E-18    8.12655138030976E-23      1.256680034348E-18     2.3494914098575E-18    1.15791345945202E-32    7.41229689779328E-21    1.32443621581986E-25    2.89024555414738E-19    2.03645199132333E-26        3429.99192331084       -604.935336746001        322.910284096082        322.884006760036      0.0390686901378721        3636.33039135649        6391298.69320319        6.11302730873326        1.39612996578217 
       0.52020202020202                     0.1      0.0299116413995393     0.00916556607667397    5.52447968749297E-18    8.37219644947388E-23    1.32423174203514E-18    2.47582589668014E-18    1.19104709624479E-32      7.771478707822E-21    1.51372073374714E-25    2.97326343503384E-19    2.18049522716972E-26        3429.98126277809       -604.850859676984        322.946243897782        322.884024416157      0.0390772000885508         3637.5287760728        6391247.69091111        6.10669123040969        1.39612996578217 
       0.54040404040404                     0.1      0.0299246633582655     0.00916955616270832     5.7770620507524E-18    8.31917369311327E-23    1.39144056239564E-18    2.60153501920361E-18    1.18832573848577E-32    8.09773048346986E-21    1.12481600118331E-25    2.96549066112662E-19     2.3512515951668E-26        3429.96020184278       -604.678834831932        323.022109272991        322.884105856659      0.0390942133338024        3639.96917819894         6391148.4419204        6.09362481594748        1.39612992333957 
      0.560606060606061                     0.1      0.0299483404526867     0.00917681148665796    6.02093781605469E-18    8.08401892485749E-23     1.4581177269445E-18    2.72625820188414E-18    1.16300764284368E-32    8.40061027135586E-21    4.43928296741702E-26    2.90061512182183E-19    2.51059010311624E-26         3429.9223354048       -604.360139977405         323.16758508139        322.884305374903      0.0391251506769381        3644.49781593612        6390972.95654647        6.06931487747674        1.39612988089697 
      0.580808080808081                     0.1      0.0299784989819499     0.00918605223976998    6.26958741540252E-18    7.97492602307469E-23    1.52420371074357E-18    2.84986066194685E-18    1.15234341623951E-32    8.71614259516447E-21      4.871029784773E-27    2.87290781167089E-19    2.61319377848455E-26        3429.87418959322       -603.955352014744        323.351135314636        322.884546897152      0.0391645518214609        3650.24509903542        6390747.65908245        6.03834359860601        1.39612988089697 
      0.601010101010101                     0.1      0.0300360686526956     0.00920369253639083     6.5191513512775E-18    8.04960848258982E-23    1.59092050300865E-18    2.97465837210692E-18    1.15821371859833E-32    9.03396291924968E-21    4.59212777186087E-26    2.88805461790963E-19    2.65275504390514E-26        3429.78271054689       -603.167205319471        323.721473127845        322.885093711436      0.0392397533869599        3661.45962516858        6390330.02684394        5.97797758273075        1.39612916040083 
      0.621212121212121                     0.1      0.0301358144941753     0.00923425858690061    6.77656753724905E-18    8.16233040811365E-23    1.66015362313605E-18    3.10416684723129E-18    1.17025113816909E-32     9.3610839807336E-21    8.24692505123373E-26    2.91815412427702E-19    2.67619957678369E-26        3429.62622121738        -601.77127474837        324.405336259916          322.8863604633      0.0393700717772152        3681.44626028599        6389638.56455006        5.87261078037819        1.39612901210785 
      0.641414141414141                     0.1       0.030281032672834     0.00927875777272172    7.04886999154696E-18    8.26905179364906E-23    1.73267963681065E-18    3.23982536573243E-18    1.18665880374469E-32    9.71302755699053E-21    7.79594827369904E-26    2.95774207393654E-19    2.69435831400671E-26        3429.39975247732       -599.706249335386         325.45174664297        322.888661918634       0.039559795225508        3711.27752329292         6388673.5117166        5.72121766427979        1.39612896966525 
      0.661616161616162                     0.1      0.0304805298572429     0.00933988760820563    7.34014548872773E-18    8.34446216995934E-23    1.80933805513716E-18    3.38320286155251E-18    1.20299628448284E-32    1.00973973771584E-20    1.16236890560283E-21    2.99578953435069E-19    2.71787397224052E-26        3429.09076098197       -596.832801337025        326.953025901734        322.892530017228      0.0398204216251927        3753.27992646552        6387407.23940102        5.51914547643661        1.39612883703213 
      0.681818181818182                     0.1      0.0307189339060466     0.00941293753277582    7.63889338241417E-18    8.30781887874721E-23    1.88853695133533E-18    3.53133491695572E-18    1.20340634348999E-32    1.04905094344992E-20     5.8116578573472E-21    2.99379110648354E-19    2.75337446491315E-26        3428.72223178893       -593.380962036262        328.768850717263        322.897319038982      0.0401318670308981        3803.68939291531        6385904.58952139        5.27530701006025        1.39612874684183 
