VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
 "gamma"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                   2.25                       0      0.0283926928388408     0.00869903732007304    2.99453972035809E-16    2.34581489466384E-19    7.07920202795163E-16                       0                       0                       0                       0   -2.70833078368941E-36                       0     2.2205089413087E-17                       0                     875                     875      0.0370917316490194        9354.89785066078              910416.375     0.00497067608123368        1.30638694763184 
                   2.25     0.00353535353535354      0.0203895713827681     0.00624701756211031    9.56325231061887E-17    1.85769526986883E-20     1.0447664105474E-16    2.91519290992359E-17    5.75413183524411E-26    5.47768350380782E-18    1.16254854077258E-20    5.94599663592838E-19    3.32592800685855E-25        2492.94723774465        2.14298352352984        1220.93965440566        869.993173878426      0.0266365885747324        9364.55070371197        4368336.64280533     0.00244407777374099         1.3072818871194 
                   2.25     0.00707070707070707      0.0305761178526684     0.00936800215291161     9.9334741718411E-17    1.80252270422801E-20    4.54415256234109E-17     4.3198136577469E-17    3.20282371241771E-25    7.41711486357156E-18    1.16235690479998E-20    8.53754154001324E-19    9.21011900235887E-25        2764.69990047584        3.31066008957815        813.312401915384        617.777004892278      0.0399441230808187        9359.83657829549        4649869.02029586      0.0146321382543991        1.35047960440058 
                   2.25      0.0106060606060606      0.0351532138362853      0.0107703450775453    1.01446704449748E-16    1.00168292114422E-20    3.35218644239911E-17     4.7455037658429E-17    2.45643299949229E-25    8.06075640937195E-18    1.16234052771835E-20    8.77970417099172E-19    1.15156728258507E-24        2844.66066728373        3.65969582142182        707.021274346241         505.79069575585      0.0459235588581569         9357.2403936572        4762145.08347428      0.0285789599910923        1.37198863105526 
                   2.25      0.0141414141414141      0.0373699157040523      0.0114495040143562    1.01564031307007E-16    6.55969425248442E-21    2.95897955684901E-17    4.85207308291709E-17     2.0082840808579E-24    8.20382638271967E-18    1.16233901024046E-20    8.44076594881728E-19    1.10204734962133E-24        2877.93419260047        3.82629878937605         664.95955012429        446.549609150572      0.0488194195863849        9356.54778624073        4813469.06868649      0.0387052812801744        1.38207936574328 
                   2.25      0.0176767676767677      0.0385276856274502      0.0118042272873516    1.00945234924948E-16    5.05277704402568E-21    2.77489311269858E-17    4.86492649256312E-17    3.06051616882009E-24    8.23299720773151E-18    1.16233839726089E-20    8.11255931323904E-19    8.84565425850324E-25        2894.00966496748         3.9236809283437        644.953213797867        413.235542260488      0.0503319114409288        9356.47851225069        4839142.30215034      0.0451434957312475        1.38693992966752 
                   2.25      0.0212121212121212      0.0391706485606685        0.01200121627762    9.93367948917294E-17    4.21692841478058E-21     2.6659137200516E-17    4.84533707192219E-17    4.57048398820198E-24      8.272526280255E-18    1.16233796010882E-20    7.70419893997054E-19    6.22367902634656E-25        2902.53684254373         3.9873322088414        634.366068540126        393.781741911351       0.051171870486822        9356.63697634044        4852938.97547985      0.0491017000497866        1.38944106795608 
                   2.25      0.0247474747474747      0.0395497943883241      0.0121173831242962    9.73639494131287E-17    3.45821002089016E-21    2.59758321256695E-17    4.79792185236551E-17     3.9430784501281E-24    8.22492208656473E-18    1.16233796010882E-20    6.83530409694814E-19    4.41252799608811E-25         2907.4171028798        4.03256908222316        628.294713843389        381.876350071195      0.0516671784519766        9356.88759708458        4860870.84480609      0.0515703160028702        1.39083775770639 
                   2.25      0.0282828282828283      0.0397670873085754      0.0121839615941636     9.6323079500199E-17    2.79729641436186E-21    2.56344162938177E-17    4.76253966311813E-17     1.0619586715586E-24    8.08423864876527E-18    5.81169182002801E-21    5.78215827769478E-19    3.18828062871705E-25        2910.15289813566        4.06534610499828        624.881704155361        374.751381902997      0.0519510470459352         9357.1828097224        4865324.25329914      0.0530330345547263        1.39161860358151 
                   2.25      0.0318181818181818      0.0399031798156618      0.0122256553066889    9.61923701170075E-17    2.93737011159498E-21    2.54819798907541E-17     4.7516281329983E-17    4.99878326575786E-26    8.04503082931563E-18    8.47229764211693E-21    6.26448141177843E-19    2.26219330058045E-25        2911.84232100103         4.0912046649597        622.770977861683        370.044405184195      0.0521288298006206        9357.49650030367        4868076.22912562       0.053962448703052        1.39211355919177 
                   2.25      0.0353535353535354      0.0399896955095856      0.0122521616234089    9.62653681148369E-17    3.29871681237034E-21    2.53903424326551E-17     4.7480777671045E-17    2.01940588690904E-25     8.0728494948962E-18    1.16233796010882E-20    7.16034421238546E-19    1.65144841913634E-25        2912.90538246071        4.11242633098052        621.444736043836        366.802001347609      0.0522418569001573        9357.82081387945         4869810.2512774      0.0545562054197611        1.39244465626663 
